step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Completeren aanvraag_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Completeren aanvraag_SCHEDULE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Completeren aanvraag_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen incomplete dossiers_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen incomplete dossiers_SCHEDULE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen incomplete dossiers_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen offertes_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen offertes_SCHEDULE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Nabellen offertes_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Valideren aanvraag_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_SENT_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_SELECTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>,
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_DECLINED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,<EOS>,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,<SOS>,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_ACCEPTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_ACTIVATED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_APPROVED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_CANCELLED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_DECLINED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_FINALIZED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_PREACCEPTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_REGISTERED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_SUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_ACCEPTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_CANCELLED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,O_CREATED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Wijzigen contractgegevens_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Valideren aanvraag_START,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Valideren aanvraag_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_SENT_BACK_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Beoordelen fraude_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Beoordelen fraude_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Beoordelen fraude_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Completeren aanvraag_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Completeren aanvraag_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Completeren aanvraag_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen incomplete dossiers_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen incomplete dossiers_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen incomplete dossiers_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen offertes_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen offertes_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Nabellen offertes_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_SENT_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_SELECTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Valideren aanvraag_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_DECLINED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<SOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_ACCEPTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_ACTIVATED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_APPROVED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_CANCELLED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_DECLINED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_FINALIZED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_PARTLYSUBMITTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_PREACCEPTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_REGISTERED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,A_SUBMITTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_ACCEPTED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_CANCELLED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,O_CREATED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Valideren aanvraag_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,W_Valideren aanvraag_START
