step_1,step_2,step_3,step_4,step_5,predict_1
<SOS>,A_SUBMITTED_COMPLETE,<EOS>,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>,
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Wijzigen contractgegevens_SCHEDULE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Valideren aanvraag_START,<EOS>,A_REGISTERED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Valideren aanvraag_SCHEDULE,<EOS>,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,W_Valideren aanvraag_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_PREACCEPTED_COMPLETE,<EOS>,W_Completeren aanvraag_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_FINALIZED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_SENT_BACK_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_REGISTERED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_SENT_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_SENT_BACK_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_SELECTED_COMPLETE,O_CREATED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_DECLINED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_CREATED_COMPLETE,O_SENT_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_CANCELLED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,O_ACCEPTED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_SUBMITTED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_PREACCEPTED_COMPLETE,W_Completeren aanvraag_SCHEDULE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_START,A_DECLINED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_FINALIZED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_DECLINED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_CANCELLED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_APPROVED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_ACTIVATED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,A_ACCEPTED_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<SOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Afhandelen leads_SCHEDULE,W_Afhandelen leads_START
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Beoordelen fraude_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_CANCELLED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Valideren aanvraag_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_APPROVED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_ACTIVATED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_ACCEPTED_COMPLETE,<EOS>,A_FINALIZED_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,<SOS>,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,<EOS>,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,<EOS>,<EOS>,
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Wijzigen contractgegevens_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Valideren aanvraag_START,W_Valideren aanvraag_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Valideren aanvraag_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen offertes_START,W_Nabellen offertes_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Beoordelen fraude_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen offertes_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen offertes_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen incomplete dossiers_START,W_Nabellen incomplete dossiers_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen incomplete dossiers_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Nabellen incomplete dossiers_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Completeren aanvraag_START,W_Completeren aanvraag_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Completeren aanvraag_SCHEDULE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Completeren aanvraag_COMPLETE,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,W_Beoordelen fraude_START,W_Beoordelen fraude_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,O_SELECTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,O_SENT_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Valideren aanvraag_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_ACCEPTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_SUBMITTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_REGISTERED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_PREACCEPTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_PARTLYSUBMITTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_FINALIZED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_DECLINED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_CANCELLED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_APPROVED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_ACTIVATED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<EOS>,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_CANCELLED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>,
<SOS>,W_Wijzigen contractgegevens_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Valideren aanvraag_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Valideren aanvraag_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Valideren aanvraag_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen offertes_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen offertes_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen offertes_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen incomplete dossiers_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_ACCEPTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_CREATED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen incomplete dossiers_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Completeren aanvraag_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Valideren aanvraag_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Valideren aanvraag_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen offertes_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen offertes_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen offertes_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen incomplete dossiers_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen incomplete dossiers_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Nabellen incomplete dossiers_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Completeren aanvraag_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Completeren aanvraag_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_DECLINED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Beoordelen fraude_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Beoordelen fraude_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Beoordelen fraude_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Afhandelen leads_START,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Afhandelen leads_SCHEDULE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
W_Afhandelen leads_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_SENT_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_SENT_BACK_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
O_SELECTED_COMPLETE,A_SUBMITTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Nabellen incomplete dossiers_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Completeren aanvraag_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Afhandelen leads_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_START,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,<EOS>,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>,
<SOS>,A_SUBMITTED_COMPLETE,W_Wijzigen contractgegevens_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Valideren aanvraag_START,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Valideren aanvraag_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Valideren aanvraag_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen offertes_START,A_DECLINED_COMPLETE,<EOS>,W_Nabellen offertes_COMPLETE
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen offertes_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen offertes_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_ACCEPTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Nabellen incomplete dossiers_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Completeren aanvraag_START,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Completeren aanvraag_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Completeren aanvraag_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Beoordelen fraude_START,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Beoordelen fraude_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Beoordelen fraude_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Afhandelen leads_START,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_SUBMITTED_COMPLETE,W_Afhandelen leads_SCHEDULE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,<SOS>,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_ACTIVATED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Completeren aanvraag_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_SELECTED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Completeren aanvraag_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Beoordelen fraude_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Beoordelen fraude_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Beoordelen fraude_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Afhandelen leads_START,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Afhandelen leads_SCHEDULE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,W_Afhandelen leads_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_SENT_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_SENT_BACK_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,O_DECLINED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
<SOS>,A_APPROVED_COMPLETE,A_PARTLYSUBMITTED_COMPLETE,A_DECLINED_COMPLETE,<EOS>,<EOS>
